OID_,id,spp_com,spp_bot,numberof_st,dbh_range,dbh,date_plant,city,neighborhood,park,x_longitude,y_latitude,shape_wkt,POINT_X,POINT_Y
172,45198,"Linden, Littleleaf",Tilia cordata,1,12-18in,14,--,Boston,East Boston,Noyes Park,-71.0102005,42.3864822,POINT (-71.010197896999955 42.38648127700003),-71.0101979,42.38648128
173,45199,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,3-6in,3,--,Boston,East Boston,Noyes Park,-71.0104218,42.3866539,POINT (-71.010419178999939 42.386653634000027),-71.01041918,42.38665363
174,45200,Serviceberry,Amelanchier species,2,0-3in,2,--,Boston,East Boston,Noyes Park,-71.0101624,42.3875999,POINT (-71.010159339999973 42.387598068000045),-71.01015934,42.38759807
175,45201,"Maple, Silver",Acer saccharinum,1,>30in,34,--,Boston,East Boston,Noyes Park,-71.00914,42.3874817,POINT (-71.009140435999939 42.387480139000047),-71.00914044,42.38748014
176,45202,"Maple, Silver",Acer saccharinum,1,12-18in,17,--,Boston,East Boston,Noyes Park,-71.009079,42.3874207,POINT (-71.009078744999954 42.387420707000047),-71.00907874,42.38742071
177,45203,"Maple, Silver",Acer saccharinum,1,18-24in,23,--,Boston,East Boston,Noyes Park,-71.0090485,42.3873825,POINT (-71.009049240999957 42.387381085000072),-71.00904924,42.38738109
178,45204,"Maple, Silver",Acer saccharinum,1,>30in,34,--,Boston,East Boston,Noyes Park,-71.0091553,42.3873329,POINT (-71.009155187999966 42.387332548000074),-71.00915519,42.38733255
179,45205,"Maple, Silver",Acer saccharinum,1,>30in,50,--,Boston,East Boston,Noyes Park,-71.0091324,42.3872719,POINT (-71.009133730999963 42.387273115000028),-71.00913373,42.38727312
180,45206,"Sweetgum, Common",Liquidambar styraciflua,1,3-6in,4,--,Boston,East Boston,Noyes Park,-71.0092392,42.3872452,POINT (-71.00923699599997 42.387244390000035),-71.009237,42.38724439
181,45207,"Sweetgum, Common",Liquidambar styraciflua,1,3-6in,4,--,Boston,East Boston,Noyes Park,-71.0096893,42.3879204,POINT (-71.009692970999936 42.387921920000053),-71.00969297,42.38792192
182,45208,"Sweetgum, Common",Liquidambar styraciflua,1,3-6in,4,--,Boston,East Boston,Noyes Park,-71.0098495,42.3880119,POINT (-71.009849879999933 42.388010078000036),-71.00984988,42.38801008
183,45209,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,3-6in,3,--,Boston,East Boston,Noyes Park,-71.0100784,42.3884964,POINT (-71.010080549999941 42.388497419000032),-71.01008055,42.38849742
184,45210,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,3-6in,3,--,Boston,East Boston,Noyes Park,-71.0101776,42.3885155,POINT (-71.010181132999946 42.388516239000069),-71.01018113,42.38851624
185,45211,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,3-6in,3,--,Boston,East Boston,Noyes Park,-71.0102921,42.3885117,POINT (-71.010289762999946 42.388510296000049),-71.01028976,42.3885103
186,45212,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,3-6in,3,--,Boston,East Boston,Noyes Park,-71.0108337,42.388443,POINT (-71.010831568999947 42.388442940000061),-71.01083157,42.38844294
187,45213,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,3-6in,3,--,Boston,East Boston,Noyes Park,-71.0110474,42.3884468,POINT (-71.011047486999985 42.388446902000055),-71.01104749,42.3884469
188,45214,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,3-6in,3,--,Boston,East Boston,Noyes Park,-71.0108643,42.3886375,POINT (-71.010866437999937 42.388637083000049),-71.01086644,42.38863708
189,45215,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,3-6in,3,--,Boston,East Boston,Noyes Park,-71.0109329,42.3886108,POINT (-71.010932151999953 42.388610339000024),-71.01093215,42.38861034
190,45216,"Oak, Pin",Quercus palustris,1,24-30in,27,--,Boston,East Boston,Noyes Park,-71.0111923,42.3884697,POINT (-71.011192325999957 42.388470675000065),-71.01119233,42.38847068
191,45217,"Oak, Swamp White",Quercus bicolor,1,3-6in,3,--,Boston,East Boston,Noyes Park,-71.0097733,42.3883553,POINT (-71.009772359999943 42.388354055000036),-71.00977236,42.38835406
192,45218,"Maple, Norway",Acer platanoides,1,18-24in,20,--,Boston,East Boston,Noyes Park,-71.009903,42.3884697,POINT (-71.009903788999964 42.388470937000079),-71.00990379,42.38847094
193,45219,"Maple, Norway",Acer platanoides,4,>30in,42,--,Boston,East Boston,Noyes Park,-71.0100479,42.3885689,POINT (-71.010045945999934 42.388569990000065),-71.01004595,42.38856999
194,45220,"Maple, Norway",Acer platanoides,1,24-30in,24,--,Boston,East Boston,Noyes Park,-71.0102768,42.3887405,POINT (-71.010279297999944 42.388740360000043),-71.0102793,42.38874036
195,45221,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,12-18in,15,--,Boston,East Boston,Noyes Park,-71.010376,42.3887978,POINT (-71.010377197999958 42.388796820000039),-71.0103772,42.38879682
196,45222,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,12-18in,17,--,Boston,East Boston,Noyes Park,-71.0104752,42.3888664,POINT (-71.010476439999934 42.388865166000073),-71.01047644,42.38886517
197,45223,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,12-18in,16,--,Boston,East Boston,Noyes Park,-71.0105743,42.3888168,POINT (-71.010575681999967 42.388817621000044),-71.01057568,42.38881762
198,45224,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,12-18in,14,--,Boston,East Boston,Noyes Park,-71.010643,42.3887825,POINT (-71.010645418999957 42.388780972000063),-71.01064542,42.38878097
199,45225,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,12-18in,14,--,Boston,East Boston,Noyes Park,-71.0107117,42.388752,POINT (-71.010713815999964 42.388751256000035),-71.01071382,42.38875126
200,45226,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,12-18in,14,--,Boston,East Boston,Noyes Park,-71.0108032,42.38871,POINT (-71.010806351999975 42.388709654000024),-71.01080635,42.38870965
201,45227,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,12-18in,14,--,Boston,East Boston,Noyes Park,-71.0106964,42.3885689,POINT (-71.010695039999973 42.388568999000029),-71.01069504,42.388569
202,45228,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,12-18in,12,--,Boston,East Boston,Noyes Park,-71.0106125,42.3885574,POINT (-71.010614573999987 42.388559094000072),-71.01061457,42.38855909
203,45229,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,12-18in,14,--,Boston,East Boston,Noyes Park,-71.0105133,42.3886032,POINT (-71.010509967999951 42.388601687000062),-71.01050997,42.38860169
204,45230,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,12-18in,12,--,Boston,East Boston,Noyes Park,-71.0103989,42.3886414,POINT (-71.010395973999948 42.388640317000068),-71.01039597,42.38864032
205,45231,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,12-18in,14,--,Boston,East Boston,Noyes Park,-71.0103149,42.3886833,POINT (-71.010318189999964 42.388681919000078),-71.01031819,42.38868192
